, Open, High, Low, Close, Volume
06/14/23, 260.17, 261.57, 250.50, 256.79, 170575500
06/13/23, 253.51, 259.68, 251.34, 258.71, 162384297
06/12/23, 247.94, 250.97, 244.59, 249.83, 150740500
06/09/23, 249.07, 252.42, 242.02, 244.40, 200242406
06/08/23, 224.22, 235.23, 223.01, 234.86, 164489703
06/07/23, 228.00, 230.8296, 223.20, 224.57, 185710797
06/06/23, 216.14, 221.91, 212.53, 221.31, 146911594
06/05/23, 217.80, 221.29, 214.52, 217.61, 151143109
06/02/23, 210.15, 217.25, 209.752, 213.97, 164398406
06/01/23, 202.59, 209.80, 199.37, 207.52, 148029906
05/31/23, 199.78, 203.95, 195.12, 203.93, 150711703
05/30/23, 200.10, 204.48, 197.53, 201.16, 128818703
05/26/23, 184.62, 198.60, 184.53, 193.17, 162061500
05/25/23, 186.54, 186.78, 180.58, 184.47, 96870719
05/24/23, 182.23, 184.22, 178.22, 182.90, 137605109
05/23/23, 186.20, 192.96, 185.26, 185.77, 156952094
05/22/23, 180.70, 189.32, 180.11, 188.87, 132001406
05/19/23, 177.17, 181.95, 176.31, 180.14, 136196703
05/18/23, 174.22, 177.06, 172.45, 176.89, 109520305
05/17/23, 168.41, 174.50, 167.185, 173.86, 125473602
05/16/23, 165.65, 169.5184, 164.35, 166.52, 98288789
05/15/23, 167.655, 169.76, 164.5499, 166.35, 105592492
05/12/23, 176.07, 177.38, 167.23, 167.98, 157849594
05/11/23, 168.70, 173.57, 166.79, 172.08, 103889906
05/10/23, 172.55, 174.43, 166.68, 168.54, 119840703
05/09/23, 168.95, 169.82, 166.56, 169.15, 88965039
05/08/23, 173.72, 173.80, 169.19, 171.79, 112249398
05/05/23, 163.97, 170.7899, 163.51, 170.06, 107607297
05/04/23, 162.71, 162.95, 159.65, 161.20, 95108484
05/03/23, 160.01, 165.00, 159.91, 160.61, 119728000
05/02/23, 161.88, 165.49, 158.93, 160.31, 128259695
05/01/23, 163.17, 163.28, 158.83, 161.83, 109015000
04/28/23, 160.90, 165.00, 157.32, 164.31, 122515797
04/27/23, 152.64, 160.48, 152.37, 160.19, 127015203
04/26/23, 160.29, 160.67, 153.14, 153.75, 153364094
04/25/23, 159.82, 163.47, 158.75, 160.67, 121999297
04/24/23, 164.65, 165.65, 158.61, 162.55, 140006594
04/21/23, 164.80, 166.00, 161.3208, 165.08, 123539000
04/20/23, 166.165, 169.70, 160.56, 162.99, 210970797
04/19/23, 179.10, 183.50, 177.65, 180.59, 125732703
04/18/23, 187.15, 187.69, 183.5775, 184.31, 92067023
04/17/23, 186.32, 189.69, 182.69, 187.04, 116662203
04/14/23, 183.95, 186.28, 182.01, 185.00, 96438656
04/13/23, 182.955, 186.50, 180.94, 185.90, 112933000
04/12/23, 190.74, 191.5846, 180.31, 180.54, 150256297
04/11/23, 186.69, 189.19, 185.6475, 186.79, 115770898
04/10/23, 179.94, 185.10, 176.11, 184.51, 142154594
04/06/23, 183.08, 186.39, 179.74, 185.06, 123857906
04/05/23, 190.515, 190.68, 183.76, 185.52, 133882500
04/04/23, 197.32, 198.7446, 190.32, 192.58, 126463797
04/03/23, 199.91, 202.6897, 192.20, 194.77, 169545906
03/31/23, 197.53, 207.79, 197.20, 207.46, 170222094
03/30/23, 195.58, 197.33, 194.42, 195.28, 110252203
03/29/23, 193.13, 195.29, 189.44, 193.88, 123660000
03/28/23, 192.00, 192.35, 185.43, 189.19, 98654641
